City,Count of Restaurant Name,Average of Aggregate rating
Inner City,2,4.9
Quezon City,1,4.8
Makati City,2,4.65
Pasig City,3,4.633333333
Mandaluyong City,4,4.625
Beechworth,1,4.6
London,20,4.535
Taguig City,4,4.525
Secunderabad,2,4.5
Tagaytay City,1,4.5
Lincoln,1,4.5
Orlando,20,4.475
Tampa Bay,20,4.41
Rest of Hawaii,20,4.41
Tanunda,1,4.4
Palm Cove,1,4.4
Bangalore,20,4.375
Dubai,20,4.37
Pasay City,3,4.366666667
Jakarta,16,4.35625
Hyderabad,18,4.344444444
Chennai,20,4.315
Ankara,20,4.305
Tangerang,2,4.3
Vernonia,1,4.3
Vineland Station,1,4.3
Randburg,1,4.3
Mohali,1,4.3
Abu Dhabi,20,4.3
Clatskanie,1,4.3
Sandton,11,4.3
??stanbul,14,4.292857143
Auckland,20,4.275
Rio de Janeiro,20,4.265
Boise,20,4.26
Kolkata,20,4.255
San Juan City,2,4.25
Wellington City,20,4.25
Goa,20,4.245
Des Moines,20,4.235
Pune,20,4.22
Athens,20,4.2
Pensacola,20,4.2
Panchkula,1,4.2
Johannesburg,6,4.2
Bandung,1,4.2
Lucknow,21,4.195238095
Guwahati,21,4.19047619
Pretoria,20,4.19
Cedar Rapids/Iowa City,20,4.165
Ahmedabad,21,4.161904762
Savannah,20,4.155
Coimbatore,20,4.135
Jaipur,20,4.13
Augusta,20,4.13
Macon,20,4.115
Dalton,20,4.11
Cape Town,20,4.11
Trentham East,1,4.1
Huskisson,1,4.1
East Ballina,1,4.1
Edinburgh,20,4.09
Mumbai,20,4.085
Kochi,20,4.08
Doha,20,4.06
Dehradun,20,4.05
Chandigarh,18,4.05
Manchester,20,4.045
Gainesville,20,4.035
Columbus,20,4.03
Sharjah,20,4.03
Vadodara,20,4.025
Vizag,20,4.005
Princeton,1,4
Bhubaneshwar,21,3.980952381
Ludhiana,20,3.98
Indore,20,3.97
Nagpur,20,3.965
Agra,20,3.965
Bhopal,20,3.95
Surat,20,3.935
Weirton,1,3.9
Colombo,20,3.87
Bogor,2,3.85
Kanpur,20,3.815
Lakes Entrance,1,3.8
Santa Rosa,2,3.8
Hepburn Springs,2,3.8
Middleton Beach,1,3.8
Sioux City,20,3.765
Mangalore,20,3.745
Puducherry,20,3.73
Davenport,20,3.715
Valdosta,20,3.715
Forrest,1,3.7
Chatham-Kent,1,3.7
Phillip Island,1,3.7
Fernley,1,3.7
Inverloch,1,3.7
Mysore,20,3.695
Amritsar,21,3.685714286
Birmingham,20,3.68
Waterloo,20,3.65
Lorn,1,3.6
Dicky Beach,1,3.6
Victor Harbor,1,3.6
Monroe,1,3.6
Ojo Caliente,1,3.6
Lakeview,1,3.6
Singapore,20,3.575
Albany,20,3.555
Dubuque,20,3.535
S??o Paulo,20,3.53
Nashik,20,3.52
Varanasi,20,3.51
Armidale,1,3.5
Flaxton,1,3.5
Macedon,1,3.5
Bras?_lia,20,3.495
Pocatello,20,3.485
Patna,20,3.455
Ranchi,20,3.455
Penola,1,3.4
Miller,1,3.4
Allahabad,20,3.395
Aurangabad,20,3.375
Yorkton,1,3.3
Potrero,1,3.3
Winchester Bay,1,3.2
Balingup,1,3.2
Cochrane,1,3.1
Consort,1,3
Mayfield,1,2.9
Ghaziabad,25,2.852
Gurgaon,1118,2.651431127
Paynesville,1,2.6
New Delhi,5473,2.43884524
Mc Millan,1,2.4
Montville,1,2.4
Noida,1080,2.036203704
Faridabad,251,1.866932271
(blank),,
Grand Total,9551,2.666370014
